FPS, FrameIndex, NumFramePresents, NumMisPresented, NumDroppedFrames, ReprojectionMotion, PredictedFrames, ThrottledFrames, SystemTimeInMs, PreSubmitGpuMs, PostSubmitGpuMs, TotalRenderGpuMs, CompositorRenderGpuMs, CompositorRenderCpuMs, CompositorIdleCpuMs, ClientFrameIntervalMs, WaitGetPosesCalledMs, NewPosesReadyMs, NewFrameReadyMs, CompositorUpdateStartMs, CompositorUpdateEndMs, CompositorRenderStartMs
67, 3735, 1, 0, 0, 1, 2, 0, 55732.8, 6.92784, 0.013856, 7.14899, 0.007296, 0.3915, 11.6215, 1.4492, -16.109, -3.62081, -2.51491, -2.49221, -2.47651, -1.80481
68, 3736, 1, 0, 0, 1, 2, 0, 55746.7, 7.0081, 0.013536, 7.2288, 0.007168, 0.3441, 11.6517, 1.652, -15.8791, -3.61751, -2.56591, -2.54451, -2.53211, -1.85621
69, 3737, 1, 0, 0, 1, 2, 0, 55760.6, 6.93619, 0.013568, 7.15696, 0.0072, 0.3487, 11.786, 1.6197, -15.8879, -3.64731, -2.64911, -2.63071, -2.61601, -1.93351
70, 3738, 1, 0, 0, 1, 2, 0, 55774.6, 6.9385, 0.014176, 7.15987, 0.0072, 0.3482, 11.8795, 1.5824, -15.9446, -3.59151, -2.63501, -2.61561, -2.60471, -1.95201
71, 3739, 1, 0, 0, 1, 2, 0, 55788.5, 6.93821, 0.013728, 7.1591, 0.007168, 0.3142, 11.7471, 1.5193, -15.9636, -3.49991, -2.48721, -2.46661, -2.45441, -1.82581
72, 3740, 1, 0, 0, 1, 2, 0, 55802.4, 7.09251, 0.116256, 7.41584, 0.007072, 0.3729, 11.6249, 1.5064, -15.867, -3.49931, -2.53391, -2.51141, -2.49791, -1.81371
72, 3741, 1, 0, 0, 1, 2, 0, 55816.3, 6.95866, 0.013408, 7.17933, 0.007264, 0.3016, 11.4269, 1.5675, -15.8188, -3.56271, -2.25821, -2.23261, -2.21961, -1.42191
72, 3742, 1, 0, 0, 1, 2, 0, 55830.3, 6.96518, 0.022112, 7.19453, 0.007232, 0.4111, 10.9019, 1.9913, -15.481, -3.44121, -1.84841, -1.82441, -1.80681, -0.981811
72, 3743, 1, 0, 0, 1, 2, 0, 55844.2, 6.98742, 0.013472, 7.20816, 0.007264, 0.421, 11.1123, 2.3458, -15.0044, -3.43771, -2.20711, -2.18091, -2.16571, -1.15641
72, 3744, 1, 0, 0, 1, 2, 0, 55858.1, 6.99325, 0.013824, 7.2143, 0.007232, 0.4074, 11.0387, 2.1651, -15.1808, -3.36801, -1.86511, -1.83651, -1.82201, -1.13011
72, 3745, 1, 0, 0, 1, 2, 0, 55872, 7.42013, 0.013888, 7.64128, 0.007264, 0.4103, 9.167, 2.0645, -15.1549, -3.52501, -2.29741, -2.24401, -2.23231, 0.669089
72, 3746, 1, 0, 0, 1, 2, 0, 55885.9, 6.98301, 0.0136, 7.20374, 0.007136, 0.4144, 11.0017, 4.0303, -13.3568, -3.56331, -1.96451, -1.94081, -1.92871, -1.16661
72, 3747, 1, 0, 0, 1, 2, 0, 55899.9, 6.95683, 0.013504, 7.1775, 0.007168, 0.366, 11.5108, 2.2918, -15.1814, -3.45551, -2.16711, -2.11721, -2.10621, -1.51741
72, 3748, 1, 0, 0, 1, 2, 0, 55913.8, 7.0064, 0.01344, 7.22707, 0.007232, 0.2957, 11.9736, 1.8424, -15.5224, -3.49121, -2.57211, -2.55291, -2.54241, -1.99801
72, 3749, 1, 0, 0, 1, 2, 0, 55927.7, 7.00374, 0.013728, 7.22461, 0.007136, 0.316, 11.9119, 1.4043, -15.9972, -3.55621, -2.59371, -2.57331, -2.56091, -1.84351
72, 3750, 1, 0, 0, 1, 2, 0, 55941.6, 7.02374, 0.013888, 7.24477, 0.007136, 0.49, 11.1289, 1.5334, -15.9045, -3.42861, -2.02521, -1.99051, -1.97881, -1.29011
72, 3751, 1, 0, 0, 1, 2, 0, 55955.6, 7.00336, 0.013728, 7.22429, 0.0072, 0.3392, 11.6428, 2.0267, -15.318, -3.41221, -2.24431, -2.21851, -2.20591, -1.56461
72, 3752, 1, 0, 0, 1, 2, 0, 55969.5, 7.21926, 0.020352, 7.44688, 0.007264, 0.336, 11.652, 1.7454, -15.5817, -3.43751, -2.39731, -2.37571, -2.36401, -1.67861
72, 3753, 1, 0, 0, 1, 2, 0, 55983.4, 7.04115, 0.01328, 7.26173, 0.007296, 0.3166, 11.7387, 1.6539, -15.6847, -3.50231, -2.35661, -2.33381, -2.32241, -1.69201
72, 3754, 1, 0, 0, 1, 2, 0, 55997.3, 7.01866, 0.013696, 7.23965, 0.007296, 0.3902, 10.8322, 1.7214, -15.6927, -3.45031, -1.90541, -1.84771, -1.83291, -0.897911
72, 3755, 1, 0, 0, 1, 2, 0, 56011.3, 7.04442, 0.013664, 7.26538, 0.007296, 0.3609, 10.42, 2.314, -15.0396, -3.43981, -1.39881, -1.36641, -1.35351, -0.377711
72, 3756, 1, 0, 0, 1, 2, 0, 56025.2, 7.05437, 0.013504, 7.27504, 0.007168, 0.305, 11.8297, 2.9508, -14.399, -3.42091, -2.45881, -2.40941, -2.39561, -1.83021
72, 3757, 1, 0, 0, 1, 2, 0, 56039.1, 7.18515, 0.109184, 7.5016, 0.007264, 0.3335, 11.4705, 1.4965, -15.8374, -3.50661, -2.39751, -2.37371, -2.36171, -1.51621
72, 3758, 1, 0, 0, 1, 2, 0, 56053, 7.06454, 0.013408, 7.28512, 0.007168, 0.3155, 11.5711, 1.8747, -15.5456, -3.52221, -2.37681, -2.35171, -2.33771, -1.59361
72, 3759, 1, 0, 0, 1, 2, 0, 56066.9, 7.05997, 0.251488, 7.51859, 0.007136, 0.3473, 11.539, 1.8299, -15.6007, -3.50931, -2.30481, -2.28051, -2.26771, -1.61041
72, 3760, 1, 0, 0, 1, 2, 0, 56080.9, 7.02496, 0.013568, 7.24566, 0.007136, 0.2907, 11.5476, 1.7892, -15.631, -3.51191, -2.32551, -2.30501, -2.29231, -1.60841
72, 3761, 1, 0, 0, 1, 2, 0, 56094.8, 7.03142, 0.0136, 7.25222, 0.0072, 0.3686, 11.9106, 1.7774, -15.6428, -3.58221, -2.69521, -2.67521, -2.66051, -2.01361
72, 3762, 1, 0, 0, 1, 2, 0, 56108.7, 6.99616, 0.013792, 7.21763, 0.00768, 0.3167, 11.9085, 1.4792, -16.016, -3.55451, -2.49061, -2.47021, -2.45761, -1.90651
72, 3763, 1, 0, 0, 1, 2, 0, 56122.6, 7.06698, 0.013696, 7.28794, 0.007264, 0.3662, 11.0167, 1.5478, -15.917, -3.46231, -2.00081, -1.97531, -1.96181, -1.08831
72, 3764, 1, 0, 0, 1, 2, 0, 56136.6, 7.38077, 0.528832, 8.11699, 0.007392, 0.297, 11.814, 2.2386, -15.1049, -3.48571, -2.51111, -2.49201, -2.48161, -1.92201
72, 3765, 1, 0, 0, 1, 2, 0, 56150.5, 7.00659, 0.013696, 7.22746, 0.007168, 0.2864, 11.913, 1.4691, -15.9263, -3.64261, -2.64341, -2.62351, -2.61151, -2.02861
72, 3766, 1, 0, 0, 1, 2, 0, 56164.4, 6.9953, 0.114624, 7.31706, 0.007136, 0.3141, 11.9035, 1.4989, -16.0564, -3.61121, -2.63781, -2.61831, -2.60521, -1.98721
72, 3767, 1, 0, 0, 1, 2, 0, 56178.3, 7.06176, 0.0136, 7.28259, 0.007232, 0.3585, 11.9131, 1.5016, -16.0176, -3.57921, -2.57831, -2.55981, -2.54861, -1.99711
72, 3768, 1, 0, 0, 1, 2, 0, 56192.3, 7.00659, 0.013856, 7.22768, 0.007232, 0.3058, 11.9981, 1.4943, -15.9994, -3.53701, -2.55881, -2.51541, -2.50391, -1.93851
72, 3769, 1, 0, 0, 1, 2, 0, 56206.2, 7.43722, 0.01376, 7.65821, 0.007232, 0.2824, 11.7085, 1.4817, -15.9664, -3.45431, -2.48191, -2.46321, -2.45261, -1.75721
72, 3770, 1, 0, 0, 1, 2, 0, 56220.1, 7.06173, 0.013408, 7.28227, 0.007136, 0.3476, 11.637, 1.6053, -15.7593, -3.57611, -2.60521, -2.55851, -2.54531, -1.83491
72, 3771, 1, 0, 0, 1, 2, 0, 56234, 7.02138, 0.015072, 7.24442, 0.007968, 0.301, 11.731, 1.6083, -15.8577, -3.60661, -2.56151, -2.51111, -2.50111, -1.88321
72, 3772, 1, 0, 0, 1, 2, 0, 56248, 7.05923, 0.013664, 7.28093, 0.008032, 0.4383, 11.4519, 1.5467, -15.9386, -3.55221, -2.33111, -2.28151, -2.26751, -1.65101
72, 3773, 1, 0, 0, 1, 2, 0, 56261.9, 7.04125, 0.013568, 7.26202, 0.0072, 0.402, 10.778, 1.7858, -15.678, -3.59241, -1.99701, -1.96601, -1.94761, -0.939711
72, 3774, 1, 0, 0, 1, 2, 0, 56275.8, 7.05987, 0.013696, 7.28122, 0.007648, 0.4226, 11.2346, 2.467, -14.9694, -3.42481, -2.14111, -2.11141, -2.09631, -1.42851
72, 3775, 1, 0, 0, 1, 2, 0, 56289.7, 7.07405, 0.013792, 7.2951, 0.007264, 0.4039, 11.428, 1.8853, -15.4532, -3.66991, -2.53681, -2.50971, -2.49481, -1.76431
72, 3776, 1, 0, 0, 1, 2, 0, 56303.7, 7.86669, 0.13984, 8.21373, 0.0072, 0.3419, 11.6515, 1.7984, -15.7793, -3.71461, -2.68361, -2.64381, -2.62501, -1.94301
72, 3777, 1, 0, 0, 1, 2, 0, 56317.6, 7.05075, 0.013504, 7.27168, 0.007424, 0.4436, 11.1973, 1.6513, -15.9503, -3.60291, -2.22261, -2.19661, -2.18241, -1.47481
72, 3778, 1, 0, 0, 1, 2, 0, 56331.5, 7.00227, 0.021088, 7.23059, 0.007232, 0.3355, 11.4842, 2.0072, -15.503, -3.74471, -2.44531, -2.42201, -2.40691, -1.80311
72, 3779, 1, 0, 0, 1, 2, 0, 56345.4, 6.9913, 0.013952, 7.21251, 0.007264, 0.3528, 11.5957, 1.8377, -15.8147, -3.73811, -2.55511, -2.53201, -2.51781, -1.87651
72, 3780, 1, 0, 0, 1, 2, 0, 56359.3, 7.01789, 0.01376, 7.23917, 0.00752, 0.4099, 11.4692, 1.758, -15.8946, -3.71631, -2.56921, -2.51871, -2.50571, -1.80421
72, 3781, 1, 0, 0, 1, 2, 0, 56373.3, 7.99184, 0.013504, 8.21258, 0.007232, 0.3923, 11.1139, 1.7761, -15.8482, -3.67821, -2.25471, -2.22421, -2.20971, -1.50331
72, 3782, 1, 0, 0, 1, 2, 0, 56387.2, 7.05254, 0.013664, 7.27338, 0.007168, 0.4857, 10.7077, 2.0622, -15.5235, -3.72811, -2.05701, -2.02801, -2.01221, -1.14301
72, 3783, 1, 0, 0, 1, 2, 0, 56401.1, 7.02723, 0.842976, 8.07754, 0.007328, 0.3042, 11.3527, 2.4463, -15.1934, -3.79211, -2.56861, -2.54541, -2.53221, -1.74311
72, 3784, 1, 0, 0, 1, 2, 0, 56415, 7.0599, 0.013536, 7.28083, 0.007392, 0.3252, 11.8636, 1.9395, -15.7661, -3.89651, -2.83281, -2.78431, -2.77191, -2.18331
72, 3785, 1, 0, 0, 1, 2, 0, 56429, 7.07443, 0.013568, 7.29558, 0.007584, 0.429, 10.9584, 1.5861, -16.1914, -3.74581, -2.35511, -2.33011, -2.31591, -1.38771
72, 3786, 1, 0, 0, 1, 2, 0, 56442.9, 7.04701, 0.021184, 7.27539, 0.0072, 0.2769, 11.8328, 2.2356, -15.4194, -3.77551, -2.68661, -2.66551, -2.65461, -2.01771
72, 3787, 1, 0, 0, 1, 2, 0, 56456.8, 7.02451, 0.014336, 7.24749, 0.00864, 0.3196, 11.4194, 1.6729, -16.0215, -3.73351, -2.31821, -2.29101, -2.27621, -1.61331
72, 3788, 1, 0, 0, 1, 2, 0, 56470.7, 8.02714, 0.233056, 8.46787, 0.00768, 0.286, 11.2746, 2.0166, -15.6222, -3.64721, -2.26881, -2.24581, -2.22901, -1.54721
72, 3789, 1, 0, 0, 1, 2, 0, 56484.7, 7.01734, 0.013728, 7.23824, 0.007168, 0.3353, 11.7186, 1.9827, -15.555, -3.81171, -2.65051, -2.62981, -2.61801, -2.00881
